 GaAs N=1.2*10^18/cm^3, D=1.36 mm	rad minuten	Bogenma		rad minuten	Bogenma	diff	Frequenzfilter in micrometer
1 in 			2 in 				
79	54	79.90	88	45	88.75	56.78736721	1.06
78	25	78.42	86	16	86.26666667	50.37071554	1.29
81	13	81.22	87	44	87.73333333	41.81518	1.45
79	15	79.25	86	1	86.01666667	43.41934291	1.72
74	40	74.67	81	9	81.15	41.60129161	1.96
74	6	74.10	86	58	86.96666667	82.56091805	2.156
46	57	46.95	53	32	53.53333333	42.24295677	2.34
28	27	28.45	35	40	35.66666667	46.30683616	2.51
67	16	67.27	74	54	74.9	48.98044102	2.65
