GaAs rein, D=5.11	rad minuten			rad minuten		Diff	Frequenzfilter in micrometer
1			2				
71	10	71.16666667	93	48	93.8	38.65226882	1.06
73	54	73.9	89	33	89.55	26.72642152	1.29
78	25	78.41666667	88	58	88.96666667	18.01685285	1.45
78	36	78.6	86	34	86.56666667	13.60514322	1.72
73	13	73.21666667	80	50	80.83333333	13.00742773	1.96
74	21	74.35	80	22	80.36666667	10.27501402	2,156
49	2	49.03333333	53	0	53	6.774108969	2.34
30	40	30.66666667	34	23	34.38333333	6.347169328	2.51
68	11	68.18333333	72	23	72.38333333	7.172585967	2.65
